identifiant_station,nom_station,station_en_fonctionnement,capacité_de_la_station,nombre_bornettes_libres,nombre_total_vélos_disponibles,vélos_mécaniques_disponibles,vélos_électriques_disponibles,borne_de_paiement_disponible,retour_vélib_possible,actualisation_de_la_donnée,coordonnées_géographiques,commune,code_postal
6025,Assas - Rennes,True,32,24,8,7,1,True,True,2025-06-03 14:58:49+02:00,"48.8492084999386, 2.32851454623001",Paris,75056
15034,Lakanal - Commerce,True,53,27,24,23,1,True,True,2025-06-03 14:56:44+02:00,"48.84442462786544, 2.294059172272682",Paris,75056
11030,Oberkampf - République,True,24,18,4,3,1,True,True,2025-06-03 14:58:45+02:00,"48.86531608707, 2.37611478491",Paris,75056
17013,Legendre - Dulong,True,23,20,3,0,3,True,True,2025-06-03 14:52:10+02:00,"48.885325169402904, 2.316423766314984",Paris,75056
19024,Botzaris - Parc des Buttes Chaumont,True,20,19,1,0,1,True,True,2025-06-03 14:56:35+02:00,"48.877951, 2.381464",Paris,75056
9010,Rochechouart lamartine,True,24,23,1,1,0,True,True,2025-06-03 14:55:14+02:00,"48.876719895109, 2.344393021854",Paris,75056
1020,Cambon - Rivoli,True,40,17,20,12,8,True,True,2025-06-03 14:56:44+02:00,"48.866143390992, 2.3251800647137",Paris,75056
18009,Jean-François Lépine - Stephenson,True,22,21,0,0,0,True,True,2025-06-03 14:51:21+02:00,"48.88611466796807, 2.356855627529275",Paris,75056
16108,Sablons - Georges Mandel,True,38,38,0,0,0,True,True,2025-06-03 14:49:45+02:00,"48.863875, 2.28189",Paris,75056
17125,Marie-Georges Picquart - Pereire,True,32,29,3,1,2,True,True,2025-06-03 14:58:56+02:00,"48.88863669349711, 2.3111706599593163",Paris,75056
19032,Villette - Belleville,True,48,37,7,3,4,True,True,2025-06-03 14:58:36+02:00,"48.8726877314, 2.376461327076",Paris,75056
11039,Richard Lenoir - Jean-Pierre Timbaud,True,36,30,3,1,2,True,True,2025-06-03 14:50:32+02:00,"48.865804276686, 2.3693370749669",Paris,75056
11026,Chemin Vert - Saint-Maur,True,45,38,6,2,4,True,True,2025-06-03 14:56:37+02:00,"48.86112461407359, 2.381299026310444",Paris,75056
16008,Galilée - Kléber,True,32,22,9,2,7,True,True,2025-06-03 14:57:49+02:00,"48.867411865714, 2.2907813801148",Paris,75056
11024,Mairie du 11ème,True,51,50,1,1,0,True,True,2025-06-03 14:57:41+02:00,"48.858925, 2.3789759",Paris,75056
15021,Joseph Liouville - Croix Nivert,True,64,63,0,0,0,True,True,2025-06-03 14:58:59+02:00,"48.844835471244416, 2.297508493065834",Paris,75056
13050,Quai Panhard et Levassor,True,57,1,55,53,2,True,True,2025-06-03 14:58:06+02:00,"48.828374828097, 2.3842737458056",Paris,75056
17105,Place Madeleine Daniélou,True,42,25,17,15,2,True,True,2025-06-03 14:54:22+02:00,"48.883498, 2.282015",Paris,75056
14136,Auguste Cain - Jean Moulin,True,40,37,3,0,3,True,True,2025-06-03 14:50:50+02:00,"48.82577028927573, 2.3210415244102482",Paris,75056
11105,Parmentier - République,True,50,21,2,1,1,True,True,2025-06-03 14:50:20+02:00,"48.8644954, 2.3750124",Paris,75056
11035,Parmentier - Abel Rabaud,True,52,49,3,2,1,True,True,2025-06-03 14:56:58+02:00,"48.86921273836114, 2.371688821240712",Paris,75056
15046,Parc Georges Brassens - Brancion,True,29,26,1,0,1,True,True,2025-06-03 14:53:42+02:00,"48.83227829269761, 2.3022570088505745",Paris,75056
16136,Théophile Gautier - François Millet,True,30,14,16,7,9,True,True,2025-06-03 14:57:52+02:00,"48.85034821320644, 2.273029983043671",Paris,75056
19022,Marché Secrétan,True,26,18,7,0,7,True,True,2025-06-03 14:56:36+02:00,"48.88125496379482, 2.373463287949562",Paris,75056
17028,Reims - Raymond Pitet,True,37,33,3,0,3,True,True,2025-06-03 14:58:59+02:00,"48.8888, 2.296319",Paris,75056
20134,Lieutenant Chauré - Etienne Marey,True,20,20,0,0,0,True,True,2025-06-03 14:57:18+02:00,"48.86746195408435, 2.405970990657807",Paris,75056
19029,Seine - Flandre,True,19,17,0,0,0,True,True,2025-06-03 14:57:49+02:00,"48.886785741479684, 2.3746193200349808",Paris,75056
19016,Hautpoul - Jean Jaurès,True,32,25,5,0,5,True,True,2025-06-03 14:55:18+02:00,"48.886393679436, 2.3865414544355",Paris,75056
10014,Marseille - Beaurepaire,True,55,39,15,9,6,True,True,2025-06-03 14:56:01+02:00,"48.871624306962985, 2.3639265082738348",Paris,75056
9005,Square d'Anvers,True,33,32,0,0,0,True,True,2025-06-03 14:56:51+02:00,"48.882633484311, 2.3448844062122",Paris,75056
8025,Miromesnil - La Boétie,True,35,11,23,19,4,True,True,2025-06-03 14:57:34+02:00,"48.873722412917, 2.3158480972052",Paris,75056
16040,Exelmans - Michel-Ange,True,33,2,31,15,16,True,True,2025-06-03 14:58:35+02:00,"48.84309486651855, 2.2597770800669053",Paris,75056
7102,Mairie du 7ème,True,48,2,46,39,7,True,True,2025-06-03 14:58:36+02:00,"48.8577967, 2.3192664",Paris,75056
9032,Mathurins - Auber,True,36,7,26,25,1,True,True,2025-06-03 14:58:49+02:00,"48.872988840744, 2.3294984212276",Paris,75056
15201,Place Amédée Gordini - Lefebvre,True,38,33,4,0,4,True,True,2025-06-03 14:52:42+02:00,"48.83061737745, 2.2920634208276",Paris,75056
11042,Grand Prieuré - Crussol,True,49,40,8,2,6,True,True,2025-06-03 14:53:51+02:00,"48.864660627935, 2.3692265531829",Paris,75056
11004,Charonne - Faubourg Saint-Antoine,True,34,8,25,18,7,True,True,2025-06-03 14:57:14+02:00,"48.852191909696, 2.3740932717919",Paris,75056
1013,Place du Palais Royal,True,67,5,62,52,10,True,True,2025-06-03 14:58:33+02:00,"48.862382970647, 2.3384822532535",Paris,75056
18201,Tristan Tzara -  Tchaïkovski,True,33,29,4,1,3,True,True,2025-06-03 14:54:52+02:00,"48.89490221746837, 2.3648490384221077",Paris,75056
13002,Arago - Glacière,True,27,22,4,2,2,True,True,2025-06-03 14:56:35+02:00,"48.83486054775774, 2.3445770524322067",Paris,75056
12204,Prague - Théophile Roussel,True,34,14,8,5,3,True,True,2025-06-03 14:57:50+02:00,"48.850330563516, 2.3758223011125",Paris,75056
14036,Boulard - Daguerre,True,45,41,2,0,2,True,True,2025-06-03 14:56:25+02:00,"48.83446472680611, 2.3293386027216907",Paris,75056
20121,Boyer - Ménilmontant,True,19,15,4,0,4,True,True,2025-06-03 14:58:40+02:00,"48.868895162679, 2.3919824145635",Paris,75056
12009,Charenton - Diderot,True,18,12,6,6,0,True,True,2025-06-03 14:54:18+02:00,"48.846171461187, 2.3793068155646",Paris,75056
19013,Laumière - Petit,True,34,34,0,0,0,True,True,2025-06-03 14:58:45+02:00,"48.88467368538326, 2.380039058625698",Paris,75056
